"age" "job" "marital" "education" "default" "housing" "contact" "day_of_week" "duration" "campaign" "pdays" "previous" "poutcome" "y"
"13758" 29 "technician" "married" "university.degree" "no" "yes" "cellular" "thu" 189 1 999 0 "nonexistent" "no"
"29738" 57 "services" "married" "high.school" "no" "yes" "cellular" "mon" 113 2 999 1 "failure" "no"
"26201" 31 "blue-collar" "married" "basic.4y" "no" "no" "cellular" "thu" 37 2 999 0 "nonexistent" "no"
"19070" 34 "admin." "single" "university.degree" "no" "yes" "cellular" "tue" 174 2 999 0 "nonexistent" "no"
"31729" 47 "services" "married" "high.school" "no" "no" "cellular" "thu" 176 1 999 0 "nonexistent" "no"
"15529" 31 "blue-collar" "single" "basic.9y" "unknown" "yes" "cellular" "fri" 100 4 999 0 "nonexistent" "no"
"6091" 29 "admin." "single" "basic.9y" "unknown" "no" "telephone" "tue" 62 4 999 0 "nonexistent" "no"
"28178" 60 "retired" "divorced" "basic.4y" "no" "no" "cellular" "tue" 465 4 999 0 "nonexistent" "yes"
"25365" 43 "blue-collar" "married" "basic.4y" "unknown" "yes" "telephone" "tue" 249 3 999 1 "failure" "no"
"28113" 47 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "fri" 583 2 999 1 "failure" "no"
"17164" 56 "blue-collar" "married" "basic.9y" "unknown" "no" "cellular" "fri" 236 8 999 0 "nonexistent" "no"
"3992" 49 "blue-collar" "married" "basic.4y" "unknown" "yes" "telephone" "mon" 84 12 999 0 "nonexistent" "no"
"6018" 25 "admin." "married" "high.school" "no" "yes" "telephone" "tue" 275 4 999 0 "nonexistent" "no"
"20490" 49 "management" "married" "university.degree" "no" "no" "cellular" "tue" 297 2 999 0 "nonexistent" "no"
"18327" 42 "blue-collar" "married" "basic.4y" "no" "yes" "cellular" "wed" 962 4 999 0 "nonexistent" "yes"
"30650" 25 "services" "married" "high.school" "no" "no" "cellular" "tue" 171 2 999 0 "nonexistent" "no"
"10134" 43 "admin." "single" "high.school" "no" "no" "telephone" "thu" 73 1 999 0 "nonexistent" "no"
"30225" 20 "student" "single" "high.school" "no" "yes" "cellular" "thu" 195 2 999 0 "nonexistent" "no"
"12302" 45 "management" "married" "university.degree" "unknown" "no" "telephone" "fri" 355 1 999 0 "nonexistent" "no"
"37246" 28 "admin." "single" "university.degree" "no" "no" "cellular" "fri" 262 1 4 2 "success" "yes"
"27684" 37 "admin." "married" "high.school" "no" "yes" "telephone" "fri" 12 1 999 0 "nonexistent" "no"
"8230" 38 "blue-collar" "married" "basic.6y" "unknown" "yes" "telephone" "tue" 258 1 999 0 "nonexistent" "no"
"16799" 27 "services" "single" "university.degree" "no" "no" "cellular" "thu" 55 2 999 0 "nonexistent" "no"
"39807" 34 "admin." "married" "high.school" "no" "yes" "cellular" "wed" 238 1 6 2 "success" "yes"
"33690" 27 "blue-collar" "single" "basic.9y" "no" "yes" "cellular" "wed" 282 1 999 1 "failure" "no"
"1878" 56 "blue-collar" "married" "basic.4y" "unknown" "yes" "telephone" "fri" 400 2 999 0 "nonexistent" "no"
"34457" 24 "services" "single" "high.school" "no" "no" "cellular" "thu" 524 1 999 1 "failure" "no"
"21937" 39 "admin." "single" "university.degree" "unknown" "yes" "cellular" "wed" 413 1 999 0 "nonexistent" "no"
"24522" 35 "self-employed" "single" "professional.course" "no" "yes" "cellular" "mon" 128 2 999 0 "nonexistent" "no"
"33343" 43 "blue-collar" "married" "basic.4y" "no" "yes" "cellular" "tue" 1182 1 999 1 "failure" "yes"
"17287" 32 "admin." "single" "high.school" "no" "yes" "telephone" "fri" 143 3 999 0 "nonexistent" "no"
"37011" 28 "services" "single" "university.degree" "no" "yes" "cellular" "mon" 316 4 999 0 "nonexistent" "yes"
"25988" 42 "admin." "married" "professional.course" "no" "yes" "cellular" "wed" 216 2 999 0 "nonexistent" "no"
"16706" 43 "admin." "married" "university.degree" "no" "yes" "telephone" "wed" 122 4 999 0 "nonexistent" "no"
"18253" 58 "housemaid" "married" "basic.4y" "no" "yes" "cellular" "wed" 638 3 999 0 "nonexistent" "no"
"20135" 33 "technician" "married" "professional.course" "no" "yes" "cellular" "mon" 169 1 999 0 "nonexistent" "no"
"38579" 60 "technician" "married" "basic.4y" "no" "yes" "cellular" "thu" 133 6 999 2 "failure" "no"
"27754" 38 "technician" "married" "professional.course" "no" "no" "cellular" "thu" 106 1 999 0 "nonexistent" "yes"
"22379" 33 "admin." "single" "university.degree" "no" "yes" "cellular" "fri" 64 1 999 0 "nonexistent" "no"
"8456" 32 "self-employed" "divorced" "university.degree" "no" "no" "telephone" "tue" 254 21 999 0 "nonexistent" "no"
"35982" 28 "self-employed" "single" "university.degree" "no" "no" "cellular" "mon" 315 1 999 0 "nonexistent" "yes"
"12131" 37 "self-employed" "single" "university.degree" "unknown" "no" "telephone" "mon" 88 4 999 0 "nonexistent" "no"
"22205" 32 "admin." "married" "university.degree" "no" "no" "cellular" "thu" 97 1 999 0 "nonexistent" "no"
"26589" 34 "management" "divorced" "university.degree" "no" "yes" "cellular" "thu" 1258 2 999 0 "nonexistent" "yes"
"17665" 53 "blue-collar" "married" "high.school" "no" "no" "cellular" "mon" 136 2 999 0 "nonexistent" "no"
"1015" 38 "blue-collar" "single" "basic.9y" "no" "no" "telephone" "wed" 252 5 999 0 "nonexistent" "no"
"28242" 40 "blue-collar" "married" "high.school" "no" "no" "cellular" "tue" 245 8 999 0 "nonexistent" "no"
"40976" 44 "technician" "married" "high.school" "no" "yes" "cellular" "mon" 310 1 999 1 "failure" "yes"
"4970" 30 "blue-collar" "married" "basic.9y" "no" "no" "telephone" "wed" 117 3 999 0 "nonexistent" "no"
"1943" 32 "management" "married" "high.school" "no" "yes" "telephone" "fri" 119 2 999 0 "nonexistent" "no"
"7523" 59 "entrepreneur" "divorced" "high.school" "no" "no" "telephone" "fri" 143 1 999 0 "nonexistent" "no"
"32179" 42 "entrepreneur" "married" "basic.6y" "no" "yes" "cellular" "fri" 158 3 999 1 "failure" "no"
"22493" 54 "blue-collar" "married" "unknown" "unknown" "yes" "cellular" "fri" 150 1 999 0 "nonexistent" "no"
"24972" 30 "services" "married" "basic.6y" "no" "no" "cellular" "tue" 154 2 999 0 "nonexistent" "no"
"38884" 50 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "mon" 202 1 999 0 "nonexistent" "no"
"37501" 34 "self-employed" "single" "university.degree" "no" "no" "telephone" "thu" 57 1 999 0 "nonexistent" "no"
"1506" 33 "admin." "married" "high.school" "no" "yes" "telephone" "thu" 672 3 999 0 "nonexistent" "no"
"34583" 28 "management" "single" "basic.9y" "no" "yes" "telephone" "thu" 166 1 999 0 "nonexistent" "no"
"3153" 32 "blue-collar" "married" "high.school" "unknown" "yes" "telephone" "thu" 200 1 999 0 "nonexistent" "no"
"9186" 32 "blue-collar" "married" "high.school" "unknown" "no" "telephone" "fri" 182 2 999 0 "nonexistent" "no"
"8904" 28 "blue-collar" "married" "basic.4y" "no" "no" "telephone" "thu" 118 1 999 0 "nonexistent" "no"
"2657" 33 "technician" "single" "professional.course" "no" "yes" "telephone" "wed" 65 6 999 0 "nonexistent" "no"
"531" 36 "admin." "married" "high.school" "no" "no" "telephone" "tue" 342 2 999 0 "nonexistent" "no"
"39668" 29 "admin." "married" "university.degree" "no" "yes" "cellular" "fri" 567 3 13 2 "failure" "yes"
"17492" 48 "services" "married" "high.school" "no" "no" "cellular" "mon" 157 3 999 0 "nonexistent" "no"
"16340" 29 "blue-collar" "single" "basic.9y" "unknown" "yes" "cellular" "tue" 262 1 999 0 "nonexistent" "no"
"22051" 51 "admin." "married" "university.degree" "no" "yes" "cellular" "wed" 113 3 999 0 "nonexistent" "no"
"2032" 54 "services" "married" "basic.4y" "unknown" "yes" "telephone" "mon" 566 7 999 0 "nonexistent" "no"
"30185" 31 "admin." "single" "high.school" "no" "no" "cellular" "thu" 252 1 5 1 "success" "yes"
"25520" 58 "management" "divorced" "university.degree" "no" "no" "cellular" "wed" 418 1 5 1 "success" "yes"
"11108" 46 "blue-collar" "divorced" "basic.6y" "no" "unknown" "telephone" "thu" 45 9 999 0 "nonexistent" "no"
"23034" 38 "admin." "married" "university.degree" "no" "no" "cellular" "tue" 85 5 999 0 "nonexistent" "no"
"9639" 32 "admin." "single" "professional.course" "no" "no" "telephone" "mon" 213 1 999 0 "nonexistent" "no"
"17795" 47 "blue-collar" "single" "unknown" "no" "yes" "cellular" "tue" 91 2 999 0 "nonexistent" "no"
"36317" 32 "blue-collar" "unknown" "basic.9y" "no" "yes" "cellular" "mon" 314 1 999 0 "nonexistent" "yes"
"39479" 75 "retired" "divorced" "high.school" "no" "no" "telephone" "tue" 162 1 6 2 "success" "yes"
"17178" 41 "self-employed" "married" "basic.9y" "no" "yes" "cellular" "fri" 177 2 999 0 "nonexistent" "no"
"11041" 39 "blue-collar" "divorced" "basic.9y" "no" "yes" "telephone" "wed" 119 2 999 0 "nonexistent" "no"
"22755" 31 "technician" "married" "professional.course" "no" "yes" "cellular" "mon" 50 10 999 0 "nonexistent" "no"
"30779" 36 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "tue" 620 1 999 0 "nonexistent" "no"
"16933" 43 "blue-collar" "married" "unknown" "no" "yes" "cellular" "thu" 172 3 999 0 "nonexistent" "no"
"40303" 34 "admin." "married" "university.degree" "no" "yes" "cellular" "thu" 417 1 6 3 "success" "yes"
"12524" 41 "technician" "married" "high.school" "no" "unknown" "cellular" "mon" 106 1 999 0 "nonexistent" "no"
"10127" 49 "technician" "married" "professional.course" "no" "no" "telephone" "thu" 138 1 999 0 "nonexistent" "no"
"21638" 32 "admin." "single" "university.degree" "no" "yes" "cellular" "tue" 451 4 999 0 "nonexistent" "no"
"3792" 46 "blue-collar" "married" "basic.4y" "no" "yes" "telephone" "fri" 218 2 999 0 "nonexistent" "no"
"12039" 35 "blue-collar" "married" "basic.9y" "unknown" "yes" "telephone" "thu" 122 6 999 0 "nonexistent" "no"
"33037" 35 "blue-collar" "married" "basic.6y" "no" "yes" "cellular" "mon" 214 2 999 0 "nonexistent" "no"
"3241" 48 "blue-collar" "married" "basic.6y" "no" "yes" "telephone" "thu" 182 1 999 0 "nonexistent" "no"
"12659" 46 "unemployed" "divorced" "professional.course" "unknown" "yes" "cellular" "mon" 221 8 999 0 "nonexistent" "no"
"19336" 51 "admin." "married" "high.school" "no" "no" "cellular" "wed" 301 2 999 0 "nonexistent" "no"
"28046" 42 "admin." "married" "basic.9y" "no" "yes" "cellular" "thu" 204 4 999 0 "nonexistent" "no"
"27370" 36 "admin." "married" "basic.6y" "no" "yes" "cellular" "fri" 183 1 999 1 "failure" "no"
"26866" 31 "admin." "single" "university.degree" "no" "no" "cellular" "thu" 264 1 999 0 "nonexistent" "no"
"16698" 38 "entrepreneur" "married" "university.degree" "no" "yes" "telephone" "wed" 83 4 999 0 "nonexistent" "no"
"29815" 31 "services" "single" "high.school" "no" "yes" "cellular" "mon" 289 3 999 1 "failure" "no"
"32745" 35 "blue-collar" "single" "basic.4y" "unknown" "yes" "cellular" "mon" 46 2 999 0 "nonexistent" "no"
"9438" 54 "admin." "married" "unknown" "unknown" "no" "telephone" "fri" 34 16 999 0 "nonexistent" "no"
"35555" 31 "admin." "single" "high.school" "unknown" "yes" "cellular" "mon" 309 1 999 0 "nonexistent" "yes"
"24915" 34 "blue-collar" "single" "high.school" "no" "yes" "cellular" "tue" 117 1 999 0 "nonexistent" "no"
"2017" 50 "blue-collar" "married" "basic.9y" "unknown" "yes" "telephone" "mon" 192 2 999 0 "nonexistent" "no"
"26838" 33 "admin." "single" "university.degree" "no" "no" "cellular" "thu" 206 2 999 1 "failure" "no"
"3252" 41 "blue-collar" "single" "basic.9y" "no" "no" "telephone" "thu" 74 1 999 0 "nonexistent" "no"
"822" 31 "admin." "married" "university.degree" "unknown" "no" "telephone" "wed" 168 1 999 0 "nonexistent" "no"
"3146" 45 "blue-collar" "married" "basic.4y" "unknown" "yes" "telephone" "thu" 219 1 999 0 "nonexistent" "no"
"15961" 36 "admin." "married" "university.degree" "no" "yes" "cellular" "mon" 105 10 999 0 "nonexistent" "no"
"39593" 52 "admin." "married" "university.degree" "no" "yes" "cellular" "wed" 338 1 999 0 "nonexistent" "yes"
"33674" 27 "blue-collar" "married" "high.school" "no" "unknown" "cellular" "wed" 74 1 999 1 "failure" "no"
"2300" 30 "blue-collar" "single" "basic.9y" "no" "yes" "telephone" "tue" 428 1 999 0 "nonexistent" "no"
"4465" 42 "services" "married" "professional.course" "no" "no" "telephone" "tue" 107 1 999 0 "nonexistent" "no"
"36295" 31 "technician" "married" "unknown" "no" "yes" "cellular" "mon" 84 1 999 1 "failure" "no"
"13769" 32 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "thu" 359 1 999 0 "nonexistent" "no"
"15566" 28 "admin." "single" "high.school" "no" "no" "telephone" "fri" 70 2 999 0 "nonexistent" "no"
"5898" 32 "blue-collar" "married" "basic.4y" "no" "no" "telephone" "mon" 41 2 999 0 "nonexistent" "no"
"24345" 54 "entrepreneur" "married" "basic.4y" "unknown" "yes" "cellular" "mon" 310 1 999 0 "nonexistent" "no"
"1019" 32 "admin." "single" "high.school" "no" "no" "telephone" "wed" 103 2 999 0 "nonexistent" "no"
"26765" 50 "admin." "single" "university.degree" "no" "yes" "cellular" "thu" 340 2 999 1 "failure" "no"
"4843" 29 "blue-collar" "married" "basic.9y" "no" "yes" "telephone" "wed" 492 1 999 0 "nonexistent" "no"
"9123" 50 "blue-collar" "married" "basic.4y" "unknown" "yes" "telephone" "fri" 91 1 999 0 "nonexistent" "no"
"16557" 31 "blue-collar" "married" "basic.4y" "unknown" "no" "cellular" "wed" 99 2 999 0 "nonexistent" "no"
"35844" 45 "admin." "married" "unknown" "no" "yes" "cellular" "fri" 271 1 999 0 "nonexistent" "yes"
"33157" 27 "blue-collar" "married" "basic.4y" "no" "yes" "cellular" "tue" 259 1 999 0 "nonexistent" "no"
"8682" 59 "retired" "married" "basic.6y" "unknown" "no" "telephone" "wed" 235 5 999 0 "nonexistent" "no"
"31363" 34 "admin." "married" "university.degree" "no" "no" "cellular" "wed" 138 2 999 0 "nonexistent" "no"
"17209" 59 "retired" "divorced" "university.degree" "no" "no" "telephone" "fri" 87 1 999 0 "nonexistent" "no"
"36604" 50 "technician" "single" "professional.course" "no" "yes" "cellular" "thu" 78 1 999 0 "nonexistent" "no"
"31879" 29 "entrepreneur" "married" "high.school" "no" "no" "telephone" "thu" 325 1 999 0 "nonexistent" "no"
"14807" 32 "technician" "married" "university.degree" "no" "no" "cellular" "wed" 124 1 999 0 "nonexistent" "no"
"36441" 47 "management" "married" "basic.9y" "no" "yes" "cellular" "tue" 181 3 999 1 "failure" "yes"
"21812" 55 "services" "married" "basic.4y" "no" "no" "cellular" "wed" 64 1 999 0 "nonexistent" "no"
"38808" 32 "admin." "single" "university.degree" "no" "yes" "telephone" "fri" 2184 2 999 1 "failure" "yes"
"39366" 58 "services" "married" "high.school" "no" "no" "cellular" "mon" 198 2 999 2 "failure" "no"
"29298" 37 "services" "married" "high.school" "no" "yes" "cellular" "fri" 398 2 999 0 "nonexistent" "no"
"1003" 38 "blue-collar" "divorced" "unknown" "no" "no" "telephone" "wed" 258 3 999 0 "nonexistent" "no"
"37064" 42 "blue-collar" "married" "basic.6y" "no" "yes" "cellular" "wed" 72 1 999 0 "nonexistent" "no"
"18864" 58 "retired" "married" "professional.course" "no" "yes" "cellular" "mon" 302 2 999 0 "nonexistent" "no"
"22765" 35 "management" "divorced" "university.degree" "no" "yes" "cellular" "mon" 961 2 999 0 "nonexistent" "yes"
"40362" 28 "student" "single" "unknown" "unknown" "yes" "cellular" "wed" 453 1 999 1 "failure" "no"
"22470" 37 "self-employed" "married" "university.degree" "no" "yes" "cellular" "fri" 177 1 999 0 "nonexistent" "no"
"18302" 30 "admin." "single" "high.school" "no" "yes" "telephone" "wed" 196 3 999 0 "nonexistent" "no"
"11667" 39 "admin." "married" "high.school" "no" "yes" "telephone" "fri" 77 5 999 0 "nonexistent" "no"
"16446" 25 "admin." "single" "university.degree" "no" "yes" "cellular" "wed" 105 1 999 0 "nonexistent" "no"
"26412" 30 "technician" "married" "university.degree" "no" "no" "cellular" "thu" 1031 6 999 0 "nonexistent" "no"
"8400" 33 "admin." "married" "university.degree" "no" "no" "telephone" "tue" 133 3 999 0 "nonexistent" "no"
"10641" 32 "technician" "married" "professional.course" "no" "yes" "telephone" "tue" 229 1 999 0 "nonexistent" "no"
"8609" 25 "admin." "single" "high.school" "no" "yes" "telephone" "wed" 217 2 999 0 "nonexistent" "no"
"34587" 22 "student" "single" "high.school" "no" "yes" "cellular" "thu" 99 2 999 0 "nonexistent" "no"
"6722" 27 "blue-collar" "married" "basic.9y" "unknown" "yes" "telephone" "wed" 466 1 999 0 "nonexistent" "no"
"4093" 47 "blue-collar" "married" "professional.course" "unknown" "no" "telephone" "mon" 571 1 999 0 "nonexistent" "no"
"7124" 47 "services" "divorced" "high.school" "no" "yes" "telephone" "thu" 97 1 999 0 "nonexistent" "no"
"4094" 32 "housemaid" "single" "high.school" "no" "unknown" "telephone" "mon" 180 1 999 0 "nonexistent" "no"
"4373" 51 "admin." "married" "basic.6y" "unknown" "no" "telephone" "tue" 253 1 999 0 "nonexistent" "no"
"23640" 38 "unknown" "married" "unknown" "no" "yes" "cellular" "thu" 27 10 999 0 "nonexistent" "no"
"40591" 57 "admin." "married" "basic.9y" "no" "no" "cellular" "thu" 114 2 999 1 "failure" "no"
"20299" 46 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "mon" 268 3 999 0 "nonexistent" "no"
