Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length_1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
34285,172.217.3.106,443,6,37241,1,1,31,0,31,31,31,0,0,0,0,0,832.4158857173544,53.704250691442226,37241,0,37241,37241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.852125345721113,26.852125345721113,0,31,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1,31,31,0,32,0,0,0,0,0,0,1,31,1,0,1548,391,0,32,0,0,0,0,0,0,0,0,adware
42971,172.217.12.142,80,6,231102,2,0,0,0,0,0,0,0,0,0,0,0,0,8.654187328538914,231102,0,231102,231102,231102,231102,0,231102,231102,0,0,0,0,0,0,0,0,0,64,0,8.654187328538914,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,adware
42971,172.217.12.142,80,6,954115,2,0,0,0,0,0,0,0,0,0,0,0,0,2.096183374121568,954115,0,954115,954115,954115,954115,0,954115,954115,0,0,0,0,0,0,0,0,0,64,0,2.096183374121568,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,adware
60566,172.217.10.46,443,6,199530,6,8,1310,4619,958,0,218.33333333333334,373.8179592618132,1418,0,577.375,682.7672553659849,29714.829850147846,70.16488748559114,15348.46153846154,20747.967834687584,61820,8,137651,27530.2,18650.713946120133,41336,1420,162199,23171.285714285717,29466.653433524287,65774,8,0,0,0,0,200,264,30.070666065253345,40.09422142033779,0,1418,395.26666666666665,571.4188439648234,326519.49523809523,0,0,0,1,0,0,0,0,1,423.5,218.33333333333334,577.375,200,0,0,0,0,0,0,6,1310,8,4619,65535,362,3,32,0,0,0,0,0,0,0,0,adware
60566,172.217.10.46,443,6,109,2,0,31,0,31,0,15.5,21.920310216782973,0,0,0,0,284403.66972477065,18348.623853211007,109,0,109,109,109,109,0,109,109,0,0,0,0,0,1,0,0,0,64,0,18348.623853211007,0,0,31,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,1594,-1,0,32,0,0,0,0,0,0,0,0,adware
45357,172.217.10.46,443,6,228691,6,7,1781,319,1213,0,296.83333333333337,492.4629596900326,176,0,45.57142857142858,78.40887947772485,9182.696301997017,56.8452628218863,19057.583333333332,24266.963762802126,77373,55,166840,33368,34487.636502085785,84054,221,191511,31918.499999999996,30839.12512864138,81158,55,0,0,0,0,200,232,26.236275148562907,30.60898767332339,0,1213,150,337.146852276571,113667.99999999999,0,0,0,1,0,0,0,0,1,161.53846153846155,296.8333333333333,45.57142857142857,200,0,0,0,0,0,0,6,1781,7,319,65535,362,3,32,0,0,0,0,0,0,0,0,adware
443,10.42.0.211,45357,6,88302,1,2,0,31,0,0,0,0,31,0,15.5,21.920310216782973,351.06792598129147,33.97431541754433,44151,62310.24955815857,88211,91,0,0,0,0,0,91,91,0,91,91,0,0,0,0,32,64,11.324771805848112,22.649543611696224,0,31,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2,10.333333333333334,0,15.5,32,0,0,0,0,0,0,1,0,2,31,362,1403,0,32,0,0,0,0,0,0,0,0,adware
50185,172.217.10.45,443,6,6933255,13,10,1073,5708,367,0,82.53846153846153,142.02676706910765,1418,0,570.8000000000001,657.1622157259026,978.0398961238265,3.317345171928625,315147.95454545453,1419165.0689534214,6668618,12,6933255,577771.25,1918349.5858126744,6668618,13,224185,24909.444444444445,30083.575843436192,71512,12,0,0,0,0,424,328,1.8750211841335707,1.4423239877950544,0,1418,282.5416666666667,491.65178373445906,241721.4764492753,0,0,0,1,0,0,0,0,0,294.82608695652175,82.53846153846153,570.8,424,0,0,0,0,0,0,13,1073,10,5708,65535,349,4,32,264036,0,264036,264036,6668618,0,6668618,6668618,adware
443,10.42.0.211,50185,6,25184,4,0,1346,0,1296,0,336.5,640.1007733162021,0,0,0,0,53446.632782719185,158.83100381194407,8394.666666666668,14478.505182971525,25113,25,25184,8394.666666666668,14478.505182971525,25113,25,0,0,0,0,0,0,0,0,0,128,0,158.83100381194407,0,0,1296,269.2,574.4068244719939,329943.2,0,0,0,0,1,0,0,0,0,336.5,336.5,0,128,0,0,0,0,0,0,4,1346,0,0,357,-1,2,32,0,0,0,0,0,0,0,0,adware
42971,172.217.12.142,80,6,3855127,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5187896533629113,3855127,0,3855127,3855127,3855127,3855127,0,3855127,3855127,0,0,0,0,0,0,0,0,0,64,0,0.5187896533629113,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,adware
45526,172.217.0.228,80,6,10065003,3,1,0,0,0,0,0,0,0,0,0,0,0,0.39741667240436984,3355001,5789521.880404892,10040155,2394,10065003,5032501.5,7081891.495365098,10040155,24848,0,0,0,0,0,0,0,0,0,104,40,0.2980625043032774,0.09935416810109246,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,65535,42408,0,32,0,0,0,0,0,0,0,0,adware
45092,172.217.2.110,443,6,177525,6,7,1924,319,1356,0,320.6666666666667,546.1983766605927,176,0,45.57142857142858,78.40887947772485,12634.840163357274,73.22912265878045,14793.75,18982.293400693183,62933,51,122829,24565.8,28350.68333744356,69399,92,154724,25787.333333333332,24807.626268280215,67201,51,0,0,0,0,200,232,33.798056611744826,39.43106604703563,0,1356,160.21428571428572,372.1755538145175,138514.64285714284,0,0,0,1,0,0,0,0,1,172.53846153846155,320.6666666666667,45.57142857142857,200,0,0,0,0,0,0,6,1924,7,319,65535,362,3,32,0,0,0,0,0,0,0,0,adware
45092,172.217.2.110,443,6,75,2,0,31,0,31,0,15.5,21.920310216782973,0,0,0,0,413333.3333333334,26666.666666666668,75,0,75,75,75,75,0,75,75,0,0,0,0,0,1,0,0,0,64,0,26666.666666666668,0,0,31,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,1403,-1,0,32,0,0,0,0,0,0,0,0,adware
57256,172.217.1.170,443,6,15216170,6,4,568,162,517,0,94.66666666666666,207.9035032573205,162,0,40.5,81,47.975278930243284,0.6571956017841546,1690685.5555555555,5029701.759179517,15103115,280,15216170,3043234,6776419.6112163095,15165242,427,90679,30226.333333333332,32946.460209457,65519,280,0,0,0,0,200,136,0.39431736107049276,0.26287824071366184,0,517,66.36363636363636,157.38123949649955,24768.854545454546,0,0,0,1,0,0,0,0,0,73,94.66666666666667,40.5,200,0,0,0,0,0,0,6,568,4,162,65535,340,2,32,0,0,0,0,0,0,0,0,adware
47805,172.217.2.110,443,6,177824,6,7,1510,319,942,0,251.66666666666666,394.26826738486915,176,0,45.57142857142858,78.40887947772485,10285.450782796472,73.10599244196509,14818.666666666668,18828.417976961086,62463,68,123352,24670.4,28722.748063164152,70527,114,155120,25853.333333333336,24474.600676347443,65960,68,0,0,0,0,200,232,33.74122728090696,39.36476516105812,0,942,130.64285714285714,273.1206009025365,74594.86263736265,0,0,0,1,0,0,0,0,1,140.69230769230768,251.66666666666666,45.57142857142857,200,0,0,0,0,0,0,6,1510,7,319,65535,362,3,32,0,0,0,0,0,0,0,0,adware
47805,172.217.2.110,443,6,122,2,0,31,0,31,0,15.5,21.920310216782973,0,0,0,0,254098.36065573772,16393.44262295082,122,0,122,122,122,122,0,122,122,0,0,0,0,0,1,0,0,0,64,0,16393.44262295082,0,0,31,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,1403,-1,0,32,0,0,0,0,0,0,0,0,adware
40507,172.217.5.227,80,6,20059251,3,1,0,0,0,0,0,0,0,0,0,0,0,0.1994092401555771,6686417,11541691.115026254,20013593,2367,20059251,10029625.5,14119462.244792204,20013593,45658,0,0,0,0,0,0,0,0,0,104,40,0.14955693011668283,0.049852310038894274,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,65535,42408,0,32,0,0,0,0,0,0,0,0,adware
42971,172.217.12.142,80,6,15401464,2,0,0,0,0,0,0,0,0,0,0,0,0,0.12985778494823608,15401464,0,15401464,15401464,15401464,15401464,0,15401464,15401464,0,0,0,0,0,0,0,0,0,64,0,0.12985778494823608,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,adware
0,8.0.6.4,0,0,92508610,5,0,0,0,0,0,0,0,0,0,0,0,0,0.05404902311255136,23127152.5,25516864.14508241,58893501,1947849,92508610,23127152.5,25516864.14508241,58893501,1947849,0,0,0,0,0,0,0,0,0,0,0,0.05404902311255136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,0,0,0,0,0,0,30186920.333333336,26031204.400382254,58893501,8115290,adware
45415,172.217.5.227,443,6,13223506,8,7,502,4746,291,0,62.75000000000001,118.14125927404508,1418,0,678,700.0028571370262,396.86903004392326,1.1343436453237137,944536.1428571428,3454774.6493239417,12947253,3,13223506,1889072.285714286,4876357.569375346,12947253,1463,225620,37603.33333333333,66459.22479435542,167509,3,0,0,0,0,264,232,0.6049832775059806,0.529360367817733,0,1418,327.99999999999994,551.7046311206749,304378,0,0,0,1,0,0,0,0,0,349.8666666666667,62.75,678,264,0,0,0,0,0,0,8,502,7,4746,65535,349,2,32,276253,0,276253,276253,12947253,0,12947253,12947253,adware
45525,172.217.0.228,80,6,52641,4,3,575,501,575,0,143.75,287.5,501,0,167,289.2524848640025,20440.34117892897,132.97619726069033,8773.5,10620.736523424352,22443,499,52641,17547,14788.105490562339,26915,499,26524,13262,17506.549688616542,25641,883,0,0,0,0,136,104,75.9863984346802,56.989798826010144,0,575,134.5,249.82965625172915,62414.857142857145,0,0,0,1,0,0,0,0,0,153.71428571428572,143.75,167,136,0,0,0,0,0,0,4,575,3,501,65535,341,1,32,0,0,0,0,0,0,0,0,adware
64459,10.42.0.1,53,17,1864,1,1,32,48,32,32,32,0,48,48,48,0,42918.454935622314,1072.961373390558,1864,0,1864,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,536.480686695279,536.480686695279,32,48,37.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1,56,32,48,32,0,0,0,0,0,0,1,32,1,48,-1,-1,0,32,0,0,0,0,0,0,0,0,adware
42490,239.255.255.250,1900,17,3002272,4,0,688,0,172,172,172,0,0,0,0,0,229.1597829910148,1.3323243197152024,1000757.3333333334,521.4732335732424,1001159,1000168,3002272,1000757.3333333334,521.4732335732424,1001159,1000168,0,0,0,0,0,0,0,0,0,128,0,1.3323243197152024,0,172,172,172,0,0,0,0,0,0,0,0,0,0,0,215,172,0,128,0,0,0,0,0,0,4,688,0,0,-1,-1,3,32,0,0,0,0,0,0,0,0,adware
20257,10.42.0.1,53,17,1369,1,1,31,47,31,31,31,0,47,47,47,0,56975.89481373265,1460.9203798392987,1369,0,1369,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,730.4601899196493,730.4601899196493,31,47,36.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1,54.5,31,47,32,0,0,0,0,0,0,1,31,1,47,-1,-1,0,32,0,0,0,0,0,0,0,0,adware
5228,10.42.0.211,37241,6,9979952,9,6,3332,0,565,151,370.22222222222223,157.40058590883467,0,0,0,0,333.8693412553487,1.5030132409454473,712853.7142857143,2239763.858973751,8429683,40,9910072,1238759,2931322.200984493,8431994,40,9965258,1993051.6,3669586.052963985,8499563,941,1,0,0,0,288,192,0.9018079445672684,0.6012052963781789,0,565,217.6875,215.464681947336,46425.02916666666,0,1,0,0,1,0,0,0,0,232.2,370.22222222222223,0,288,0,0,0,0,0,0,9,3332,6,0,175,1948,8,32,1480389,0,1480389,1480389,8429683,0,8429683,8429683,adware
53374,172.217.10.97,443,6,219494,9,9,1045,6082,531,0,116.11111111111111,192.03999872711702,1418,0,675.7777777777778,710.106819038125,32470.13585792778,82.00679745232216,12911.411764705881,15866.267106107627,43935,8,219494,27436.75,19757.695815265793,45223,93,172619,21577.374999999996,33009.83302393178,89019,8,0,0,0,0,296,296,41.00339872616108,41.00339872616108,0,1418,375.1052631578948,571.8920736114893,327060.54385964916,0,0,0,1,0,0,0,0,1,395.94444444444446,116.11111111111111,675.7777777777778,296,0,0,0,0,0,0,9,1045,9,6082,65535,357,3,32,0,0,0,0,0,0,0,0,adware
44087,172.217.12.142,443,6,216057,7,8,1258,5522,909,0,179.71428571428572,333.1179542272848,1418,0,690.2500000000001,620.3977410845861,31380.607895138783,69.42612366181147,15432.642857142859,20721.823488988397,65706,7,216057,36009.5,25058.02652045847,73714,431,170663,24380.428571428572,31317.77623468362,69592,7,0,0,0,0,232,264,32.39885770884535,37.02726595296612,0,1418,423.75,549.2221772652666,301645,0,0,0,1,0,0,0,0,1,452,179.71428571428572,690.25,232,0,0,0,0,0,0,7,1258,8,5522,65535,362,3,32,0,0,0,0,0,0,0,0,adware
53351,172.217.10.97,443,6,7130609,11,12,2184,8429,627,0,198.54545454545456,275.28434885999735,1418,0,702.4166666666666,662.3578349466031,1488.3721712970098,3.225530946935949,324118.59090909094,1012865.8334687044,3728029,10,7130609,713060.8999999999,1444233.835756558,3728029,363,7090621,644601.9090909091,1408983.209252009,3769449,10,0,0,0,0,360,392,1.542645235491106,1.682885711444843,0,1418,442.20833333333326,561.242718877273,314993.38949275366,0,0,0,1,0,0,0,0,1,461.4347826086956,198.54545454545453,702.4166666666666,360,0,0,0,0,0,0,11,2184,12,8429,65535,369,5,32,0,0,0,0,0,0,0,0,adware
58422,172.217.10.110,443,6,13935925,7,7,509,4745,291,0,72.71428571428571,125.95860998189615,1418,0,677.8571428571428,700.1172350807705,377.01121382326613,1.0045978289923345,1071994.2307692308,3807767.806614289,13744822,2,13935925,2322654.166666667,5595734.463314621,13744822,664,151577,25262.833333333336,44854.117324574196,110670,2,0,0,0,0,232,232,0.5022989144961673,0.5022989144961673,0,1418,350.2666666666667,563.7451889774653,317808.63809523813,0,0,0,1,0,0,0,0,1,375.2857142857143,72.71428571428571,677.8571428571429,232,0,0,0,0,0,0,7,509,7,4745,65535,349,2,32,191103,0,191103,191103,13744822,0,13744822,13744822,adware
38585,172.217.1.163,443,6,1980049,9,9,2910,1455,1153,0,323.3333333333333,467.8447926396103,926,0,161.66666666666666,302.96782007335366,2204.4908989626015,9.090684119433408,116473.47058823529,379472.31609781453,1586215,42,1980049,247506.125,567871.301689649,1649481,981,1915551,239443.875,554682.1806997582,1609627,42,0,0,0,0,296,296,4.545342059716704,4.545342059716704,0,1153,229.73684210526318,384.32261362692316,147703.87134502924,0,0,0,1,0,0,0,0,1,242.5,323.3333333333333,161.66666666666666,296,0,0,0,0,0,0,9,2910,9,1455,65535,391,4,32,0,0,0,0,0,0,0,0,adware
443,10.42.0.211,34992,6,2224,2,1,0,0,0,0,0,0,0,0,0,0,0,1348.9208633093526,1112,779.2316728675754,1663,561,561,561,0,561,561,0,0,0,0,0,0,0,0,0,64,32,899.2805755395684,449.6402877697842,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,349,1431,0,32,0,0,0,0,0,0,0,0,adware
443,10.42.0.211,57256,6,6146,1,1,0,0,0,0,0,0,0,0,0,0,0,325.4149040026033,6146,0,6146,6146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,162.70745200130165,162.70745200130165,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,340,1386,0,32,0,0,0,0,0,0,0,0,adware
38375,172.217.10.46,443,6,16089829,47,63,22369,24509,1368,0,475.9361702127659,552.3067596062472,1418,0,389.03174603174597,506.31932319481024,2913.5176017097506,6.836617095184789,147613.11009174315,959687.0684106736,8146219,5,16089829,349778.89130434784,1463120.8961157459,8146219,23,16040364,258715.54838709685,1272984.8812576602,8185843,5,0,0,0,0,1512,2024,2.9211000315789555,3.915517063605834,0,1418,422.3243243243243,524.9200486682305,275541.0574938575,0,0,0,1,0,0,0,0,1,426.1636363636364,475.93617021276594,389.031746031746,1512,0,0,0,0,0,0,47,22369,63,24509,65535,830,26,32,805971.5,633673.0348535434,1254046,357897,7041431.5,1562405.4660402657,8146219,5936644,adware
443,10.42.0.211,60726,6,2116,2,1,0,0,0,0,0,0,0,0,0,0,0,1417.7693761814746,1058,1439.6694064958108,2076,40,40,40,0,40,40,0,0,0,0,0,0,0,0,0,64,32,945.179584120983,472.5897920604915,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,1,0,349,1431,0,32,0,0,0,0,0,0,0,0,adware
29719,10.42.0.1,53,17,1979,1,1,36,118,36,36,36,0,118,118,118,0,77817.07933299647,1010.611419909045,1979,0,1979,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,505.3057099545225,505.3057099545225,36,118,63.33333333333333,47.34272207354931,2241.333333333333,0,0,0,0,0,0,0,0,1,95,36,118,32,0,0,0,0,0,0,1,36,1,118,-1,-1,0,32,0,0,0,0,0,0,0,0,adware
23008,10.42.0.1,53,17,31366,1,1,37,77,37,37,37,0,77,77,77,0,3634.508703691896,63.76331059108589,31366,0,31366,31366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,31.881655295542945,31.881655295542945,37,77,50.333333333333336,23.094010767585033,533.3333333333334,0,0,0,0,0,0,0,0,1,75.5,37,77,32,0,0,0,0,0,0,1,37,1,77,-1,-1,0,32,0,0,0,0,0,0,0,0,adware
50185,172.217.10.45,443,6,413,3,0,0,0,0,0,0,0,0,0,0,0,0,7263.922518159806,206.5,143.54267658086914,308,105,413,206.5,143.54267658086914,308,105,0,0,0,0,0,0,0,0,0,60,0,7263.922518159806,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,3,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,adware
50191,172.217.10.45,443,6,6644100,94,231,7275,290342,1350,0,77.3936170212766,256.9467631603956,1418,0,1256.8917748917747,398.4202953096918,44794.178293523575,48.91557923571289,20506.48148148148,282425.7185596829,5063601,1,6644100,71441.93548387096,525947.9327447067,5063601,10,6604844,28716.713043478263,341009.9887261757,5147499,7,0,0,0,0,3016,7400,14.147890609713881,34.76768862599901,0,1418,912.9355828220862,647.9227913339422,419803.94352996716,0,0,0,1,0,0,0,0,2,915.7446153846154,77.3936170212766,1256.891774891775,3016,0,0,0,0,0,0,94,7275,231,290342,65535,471,10,32,1276800,0,1276800,1276800,5063601,0,5063601,5063601,adware
