"Salary","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League.A","League.N","Division.E","Division.W","PutOuts","Assists","Errors"
"-Graig Nettles","low",354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,0,1,0,1,83,174,16
"-Gary Pettis","low",539,139,5,93,58,69,5,1469,369,12,247,126,198,1,0,0,1,462,9,7
"-Gary Redus","low",340,84,11,62,33,47,5,1516,376,42,284,141,219,0,1,1,0,185,8,4
"-Greg Walker","high",282,78,13,37,51,29,5,1649,453,73,211,280,138,1,0,0,1,670,57,5
"-Gary Ward","high",380,120,5,54,51,31,8,3118,900,92,444,419,240,1,0,0,1,237,8,1
"-Harold Baines","high",570,169,21,72,88,38,7,3754,1077,140,492,589,263,1,0,0,1,295,15,5
"-Hubie Brooks","high",306,104,14,50,58,25,7,2954,822,55,313,377,187,0,1,1,0,116,222,15
"-Hal McRae","low",278,70,7,22,37,18,18,7186,2081,190,935,1088,643,1,0,0,1,0,0,0
"-Harry Spilman","low",143,39,5,18,30,15,9,639,151,16,80,97,61,0,1,0,1,138,15,1
"-Herm Winningham","low",185,40,4,23,11,18,3,524,125,7,58,37,47,0,1,1,0,97,2,2
"-John Cangelosi","low",438,103,2,65,32,71,2,440,103,2,67,32,71,1,0,0,1,276,7,9
"-Jose Canseco","low",600,144,33,85,117,65,2,696,173,38,101,130,69,1,0,0,1,319,4,14
"-Joe Carter","low",663,200,29,108,121,32,4,1447,404,57,210,222,68,1,0,1,0,241,8,6
"-Jack Clark","high",232,55,9,34,23,45,12,4405,1213,194,702,705,625,0,1,1,0,623,35,3
"-Julio Franco","high",599,183,10,80,74,32,5,2482,715,27,330,326,158,1,0,1,0,231,374,18
"-Jim Gantner","high",497,136,7,58,38,26,11,3871,1066,40,450,367,241,1,0,1,0,304,347,10
"-Johnny Grubb","low",210,70,13,32,51,28,15,4040,1130,97,544,462,551,1,0,1,0,0,0,0
"-Jack Howell","low",151,41,4,26,21,19,2,288,68,9,45,39,35,1,0,0,1,28,56,2
"-John Kruk","low",278,86,4,33,38,45,1,278,86,4,33,38,45,0,1,0,1,102,4,2
"-Jeffrey Leonard","low",341,95,6,48,42,20,10,2964,808,81,379,428,221,0,1,0,1,158,4,5
"-Jim Morrison","low",537,147,23,58,88,47,10,2744,730,97,302,351,174,0,1,1,0,92,257,20
"-Jerry Mumphrey","high",309,94,5,37,32,26,13,4618,1330,57,616,522,436,0,1,1,0,161,3,3
"-Jim Presley","low",616,163,27,83,107,32,3,1437,377,65,181,227,82,1,0,0,1,110,308,15
"-Johnny Ray","high",579,174,7,67,78,58,6,3053,880,32,366,337,218,0,1,1,0,280,479,5
"-Joel Skinner","low",315,73,5,23,37,16,4,450,108,6,38,46,28,1,0,0,1,227,15,3
"-Joel Youngblood","high",184,47,5,20,28,18,11,3327,890,74,419,382,304,0,1,0,1,49,2,0
"-Kevin Bass","high",591,184,20,83,79,38,5,1689,462,40,219,195,82,0,1,0,1,303,12,5
"-Kal Daniels","low",181,58,6,34,23,22,1,181,58,6,34,23,22,0,1,0,1,88,0,3
"-Ken Griffey","high",490,150,21,69,58,35,14,6126,1839,121,983,707,600,1,0,1,0,96,5,3
"-Kent Hrbek","high",550,147,29,85,91,71,6,2816,815,117,405,474,319,1,0,0,1,1218,104,10
"-Ken Landreaux","high",283,74,4,34,29,22,10,3919,1062,85,505,456,283,0,1,0,1,145,5,7
"-Kevin McReynolds","high",560,161,26,89,96,66,4,1789,470,65,233,260,155,0,1,0,1,332,9,8
"-Kevin Mitchell","low",328,91,12,51,43,33,2,342,94,12,51,44,33,0,1,1,0,145,59,8
"-Keith Moreland","high",586,159,12,72,79,53,9,3082,880,83,363,477,295,0,1,1,0,181,13,4
"-Ken Oberkfell","high",503,136,5,62,48,83,10,3423,970,20,408,303,414,0,1,0,1,65,258,8
"-Kurt Stillwell","low",279,64,0,31,26,30,1,279,64,0,31,26,30,0,1,0,1,107,205,16
"-Leon Durham","high",484,127,20,66,65,67,7,3006,844,116,436,458,377,0,1,1,0,1231,80,7
"-Larry Herndon","low",283,70,8,33,37,27,12,4479,1222,94,557,483,307,1,0,1,0,156,2,2
"-Len Matuszek","low",199,52,9,26,28,21,6,805,191,30,113,119,87,0,1,0,1,235,22,5
"-Lloyd Moseby","high",589,149,21,89,86,64,7,3558,928,102,513,471,351,1,0,1,0,371,6,6
"-Larry Parrish","high",464,128,28,67,94,52,13,5829,1552,210,740,840,452,1,0,0,1,0,0,0
"-Lou Whitaker","low",584,157,20,95,73,63,10,4704,1320,93,724,522,576,1,0,1,0,276,421,11
"-Mike Easler","high",490,148,14,64,78,49,13,3400,1000,113,445,491,301,1,0,1,0,0,0,0
"-Mel Hall","high",442,131,18,68,77,33,6,1416,398,47,210,203,136,1,0,1,0,233,7,7
"-Mike Heath","high",288,65,8,30,36,27,9,2815,698,55,315,325,189,0,1,1,0,259,30,10
"-Mike LaValliere","low",303,71,3,18,30,36,3,344,76,3,20,36,45,0,1,1,0,468,47,6
"-Mike Marshall","high",330,77,19,47,53,27,6,1928,516,90,247,288,161,0,1,0,1,149,8,6
"-Mike Pagliarulo","low",504,120,28,71,71,54,3,1085,259,54,150,167,114,1,0,1,0,103,283,19
"-Mickey Tettleton","low",211,43,10,26,35,39,3,498,116,14,59,55,78,1,0,0,1,463,32,8
"-Ozzie Guillen","low",547,137,2,58,47,12,2,1038,271,3,129,80,24,1,0,0,1,261,459,22
"-Oddibe McDowell","low",572,152,18,105,49,65,2,978,249,36,168,91,101,1,0,0,1,325,13,3
"-Ozzie Virgil","high",359,80,15,45,48,63,7,1493,359,61,176,202,175,0,1,0,1,682,93,13
"-Phil Garner","high",313,83,9,43,41,30,14,5885,1543,104,751,714,535,0,1,0,1,58,141,23
"-Pete Incaviglia","low",540,135,30,82,88,55,1,540,135,30,82,88,55,1,0,0,1,157,6,14
"-Paul Molitor","high",437,123,9,62,55,40,9,4139,1203,79,676,390,364,1,0,1,0,82,170,15
"-Pete Rose","high",237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,0,1,0,1,523,43,6
"-Pat Tabler","high",473,154,6,61,48,29,6,1966,566,29,250,252,178,1,0,1,0,846,84,9
"-Rafael Belliard","low",309,72,0,33,31,26,5,354,82,0,41,32,26,0,1,1,0,117,269,12
"-Rick Burleson","high",271,77,5,35,29,33,12,4933,1358,48,630,435,403,1,0,0,1,62,90,3
"-Rick Cerone","low",216,56,4,22,18,15,12,2796,665,43,266,304,198,1,0,1,0,391,44,4
"-Rob Deer","low",466,108,33,75,86,72,3,652,142,44,102,109,102,1,0,1,0,286,8,8
"-Ron Hassey","high",341,110,9,45,49,46,9,2331,658,50,249,322,274,1,0,1,0,251,9,4
"-Rickey Henderson","high",608,160,28,130,74,89,8,4071,1182,103,862,417,708,1,0,1,0,426,4,6
"-Rick Manning","low",205,52,8,31,27,17,12,5134,1323,56,643,445,459,1,0,1,0,155,3,2
"-Rance Mulliniks","high",348,90,11,50,45,43,10,2288,614,43,295,273,269,1,0,1,0,60,176,6
"-Rey Quinones","low",312,68,2,32,22,24,1,312,68,2,32,22,24,1,0,1,0,86,150,15
"-Rafael Ramirez","high",496,119,8,57,33,21,7,3358,882,36,365,280,165,0,1,0,1,155,371,29
"-Robby Thompson","low",549,149,7,73,47,42,1,549,149,7,73,47,42,0,1,0,1,255,450,17
"-Rob Wilfong","low",288,63,3,25,33,16,10,2682,667,38,315,259,204,1,0,0,1,135,257,7
"-Robin Yount","high",522,163,9,82,46,62,13,7037,2019,153,1043,827,535,1,0,1,0,352,9,1
"-Scott Fletcher","high",530,159,3,82,50,47,6,1619,426,11,218,149,163,1,0,0,1,196,354,15
"-Steve Garvey","high",557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,0,1,0,1,1160,53,7
"-Steve Sax","low",633,210,6,91,56,59,6,3070,872,19,420,230,274,0,1,0,1,367,432,16
"-Tony Fernandez","low",687,213,10,91,65,27,4,1518,448,15,196,137,89,1,0,1,0,294,445,13
"-Tony Gwynn","high",642,211,14,107,59,52,5,2364,770,27,352,230,193,0,1,0,1,337,19,4
"-Tommy Herr","high",559,141,2,48,61,73,8,3162,874,16,421,349,359,0,1,1,0,352,414,9
"-Tony Pena","high",510,147,10,56,52,53,7,2872,821,63,307,340,174,0,1,1,0,810,99,18
"-Ted Simmons","high",127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,0,1,0,1,167,18,6
"-Tim Teufel","low",279,69,4,35,31,32,4,1359,355,31,180,148,158,0,1,1,0,133,173,9
"-Wally Joyner","low",593,172,22,82,100,57,1,593,172,22,82,100,57,1,0,0,1,1222,139,15
"-Willie Randolph","high",492,136,5,76,50,94,12,5511,1511,39,897,451,875,1,0,1,0,313,381,20
"-Wayne Tolleson","low",475,126,3,61,43,52,6,1700,433,7,217,93,146,1,0,0,1,37,113,7
"-Willie Upshaw","high",573,144,9,85,60,78,8,3198,857,97,470,420,332,1,0,1,0,1314,131,12
"-Willie Wilson","high",631,170,9,77,44,31,11,4908,1457,30,775,357,249,1,0,0,1,408,4,3
